(10, 7, 64)
(0, 0, 'wall', [4, 3], 0, [-1, -1])
(0, 1, 'wall', [4, 3], 0, [-1, -1])
(0, 2, 'wall', [4, 3], 0, [-1, -1])
(0, 3, 'wall', [4, 3], 0, [-1, -1])
(0, 4, 'wall', [4, 3], 0, [-1, -1])
(0, 5, 'wall', [4, 3], 0, [-1, -1])
(0, 6, 'wall', [4, 3], 0, [-1, -1])
(0, 7, 'wall', [4, 3], 0, [-1, -1])
(0, 8, 'wall', [4, 3], 0, [-1, -1])
(0, 9, 'wall', [3, 1], 0, [-1, -1])
(1, 0, 'floor', [2, 4], 0, [-1, -1])
(1, 1, 'floor', [2, 4], 0, [-1, -1])
(1, 2, 'floor', [2, 4], 0, [-1, -1])
(1, 3, 'floor', [2, 4], 0, [-1, -1])
(1, 4, 'floor', [2, 4], 0, [-1, -1])
(1, 5, 'floor', [2, 4], 0, [-1, -1])
(1, 6, 'floor', [2, 4], 0, [-1, -1])
(1, 7, 'floor', [2, 4], 0, [-1, -1])
(1, 8, 'floor', [2, 4], 0, [5, 7])
(1, 9, 'wall', [3, 1], 0, [-1, -1])
(2, 0, 'wall', [5, 0], 0, [-1, -1])
(2, 1, 'floor', [2, 4], 90, [-1, -1])
(2, 2, 'floor', [0, 4], 0, [-1, -1])
(2, 3, 'floor', [0, 4], 0, [-1, -1])
(2, 4, 'floor', [1, 4], 0, [-1, -1])
(2, 5, 'floor', [0, 4], 0, [-1, -1])
(2, 6, 'floor', [0, 4], 0, [-1, -1])
(2, 7, 'floor', [0, 4], 90, [5, 7])
(2, 8, 'floor', [0, 4], 0, [-1, -1])
(2, 9, 'wall', [3, 1], 0, [-1, -1])
(3, 0, 'wall', [1, 1], 0, [-1, -1])
(3, 1, 'floor', [2, 4], 90, [-1, -1])
(3, 2, 'floor', [0, 4], 0, [-1, -1])
(3, 3, 'floor', [0, 4], 0, [-1, -1])
(3, 4, 'floor', [0, 4], 0, [-1, -1])
(3, 5, 'floor', [0, 4], 0, [-1, -1])
(3, 6, 'floor', [0, 4], 0, [-1, -1])
(3, 7, 'floor', [0, 4], 180, [5, 7])
(3, 8, 'floor', [0, 4], 0, [-1, -1])
(3, 9, 'wall', [3, 1], 0, [-1, -1])
(4, 0, 'wall', [1, 1], 0, [-1, -1])
(4, 1, 'floor', [2, 4], 90, [-1, -1])
(4, 2, 'floor', [1, 4], 0, [-1, -1])
(4, 3, 'floor', [0, 4], 90, [-1, -1])
(4, 4, 'floor', [0, 4], 0, [-1, -1])
(4, 5, 'floor', [0, 4], 0, [4, 8])
(4, 6, 'floor', [0, 4], 0, [-1, -1])
(4, 7, 'floor', [0, 4], 180, [5, 7])
(4, 8, 'floor', [0, 4], 0, [-1, -1])
(4, 9, 'wall', [3, 1], 0, [-1, -1])
(5, 0, 'wall', [1, 1], 0, [-1, -1])
(5, 1, 'floor', [2, 4], 90, [-1, -1])
(5, 2, 'floor', [0, 4], 0, [-1, -1])
(5, 3, 'floor', [0, 4], 0, [-1, -1])
(5, 4, 'floor', [0, 4], 0, [-1, -1])
(5, 5, 'floor', [0, 4], 0, [-1, -1])
(5, 6, 'floor', [0, 4], 0, [-1, -1])
(5, 7, 'floor', [0, 4], 0, [-1, -1])
(5, 8, 'floor', [0, 4], 0, [-1, -1])
(5, 9, 'wall', [3, 1], 0, [-1, -1])
(6, 0, 'wall', [1, 2], 0, [-1, -1])
(6, 1, 'wall', [2, 2], 0, [-1, -1])
(6, 2, 'wall', [2, 2], 0, [-1, -1])
(6, 3, 'wall', [2, 2], 0, [-1, -1])
(6, 4, 'wall', [2, 2], 0, [-1, -1])
(6, 5, 'wall', [2, 2], 0, [-1, -1])
(6, 6, 'wall', [2, 2], 0, [-1, -1])
(6, 7, 'wall', [2, 2], 0, [-1, -1])
(6, 8, 'wall', [2, 2], 0, [-1, -1])
(6, 9, 'wall', [3, 2], 0, [-1, -1])
